"Variety Name",Description,Parentage,"IVT Variety","Breeder Name","Breeder Address 1","Breeder Address 2","Breeder Town","Breeder Region","Breeder Postcode","Breeder Country","Breeder Email","Breeder Webpage","Breeder Phone","Breeder Fax","Breeder Agent Name","Breeder Agent Address 1","Breeder Agent Address 2","Breeder Agent Town","Breeder Agent Region","Breeder Agent Postcode","Breeder Agent Country","Breeder Agent Email","Breeder Agent Webpage","Breeder Agent Phone","Breeder Agent Fax","Breeder Rights (expiry)","Shape of tuber","Colour of skin","Colour of flesh","Depth of eyes","Smoothness of skin","Colour of base of lightsprout",Maturity,"Height of plants","Colour of flower","Frequency of berries","Resistance to bruising","Resistance to splitting","Resistance to Potato Virus YO","Resistance to Potato Virus YN","Resistance to Potato Virus A","Resistance to Potato mop top (spraing)","Resistance to Potato Leafroll Virus","Resistance to Potato Cyst Nematode (Pa 2/3 - 1) (Globodera pallida Pa 2/3 - 1)","Resistance to Potato Cyst Nematode (Ro1) (Globodera rostochiensis Ro1)","Resistance to common scab (Streptomyces scabiei)","Resistance to blackleg (Pectobacterium atrosepticum)","Resistance to dry rot (Fusarium sulphureum)","Resistance to dry rot (Fusarium coeruleum)","Resistance to skin spot (Polyscytalum pustulans)","Resistance to silver scurf (Helminthosporium solani)","Resistance to black dot (Colletotrichum coccodes)","Resistance to powdery scab (Spongospora subterranea)","Resistance to late blight on tubers (Phytophthora infestans)","Resistance to late blight on foliage (Phytophthora infestans)",Dormancy,"Dry Matter",Determinacy,"Cooking Type"
Charlemont,"Tubers have good  resistance to bruising, black dot and skin spot.Â Â This variety has low resistance to blackleg and potato virus Yo.Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Estima x L2883/0014",1,"P Watts",AFBI,,Loughgall,Armagh,"BT61 8JB","UNITED KINGDOM",,,,,-,-,-,-,-,-,-,-,-,-,-,2038,"Oval - long",White,"Light yellow",Shallow,-,Pink,"Early Maincrop",Medium,"Red violet",-,6,3,2,-,-,-,5,2,7,5,2,4,5,8,5,6,5,3,4,-,-,-,-
Charlotte,"Second early maturity, producing moderate yields of uniform, smooth skinned tubers.  .  Medium dry matter, waxy cooked texture. Susceptible to late blight on foliage,  potato cyst nematode <i> Globodera rostochiensis </i> and <i> Globodera pallida </i>.  Tests show resistance to Blackleg.","Hansa x Danae",1,Unicopa,"29679 Morlaix cedex",,Kérozar,,"CS 67911",AFGHANISTAN,contactgroupe@unicopa.fr,www.unicopa.fr,"+33 (0)2 98 62 30 30","+33 (0)2 98 62 12 47","GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",Cream,"Light yellow",Shallow,Smooth,Pink,"Second Early",Medium,"Red violet",Few,5,6,2,-,-,-,5,2,2,4,8,4,4,-,-,-,4,5,2,-,-,-,-
Charlton,,"Vales Everest x Hermes",1,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",-,"Short - oval","Red parti-coloured","Medium yellow",Shallow,-,Pink,"Early Maincrop","Medium - tall","Red violet",-,3,7,-,-,-,-,-,5,2,7,4,3,7,-,-,-,6,4,4,-,-,-,-
Chaski,"Tubers have excellent  resistance to splitting and some  resistance to bruising.Â Â Trials have found good resistance to powdery scab, common scab, blackleg, potato leafroll virus and potato virus Yo .Â Â This variety has low resistance to dry rot, particularly <i>Fusarium suplhureum</i>, and late blight on tubers. Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","DB 271 39 x Inca Sun",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,-,-,-,-,-,-,-,-,-,-,-,2040,"Oval - long","Red parti-coloured",Cream,Medium,-,Pink,Maincrop,"Medium - tall",Violet,-,5,8,9,-,-,-,9,3,3,8,9,1,3,5,4,5,7,2,6,-,-,-,-
Chicago,"Tubers have excellent  resistance to splitting and good  resistance to bruising.Â Â Trials have found good resistance to dry rot <i>Fusarium coeruleum </i> and <i> Fusarium sulphureum </i>, potato leafroll virus and common scab. Â Â This variety has low resistance to potato virus Yo.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1 and partial resistance to  <i>Globodera pallida</i> Pa 2/3, 1.","Midas x 93G181-010",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2040,Oval,"Red parti-coloured","Light yellow","Very shallow - shallow",-,Pink,Maincrop,"Medium - tall",-,-,6,8,1,-,-,-,7,4,9,6,5,7,8,5,6,6,5,5,6,-,-,-,-
Chincha,"Tubers have good  resistance to splitting and poor  resistance to bruising.Â Â Trials have found good resistance to potato virus Yo, silver scurf, skin spot and some resistance to black dot, powdery scab, blackleg and common scab. Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Charlotte x Inca Sun ",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,2039,"Oval - long","Red parti-coloured","Light yellow","Medium - deep",-,Pink,Maincrop,Tall,"Red violet",-,2,6,7,-,-,-,5,2,2,6,6,2,4,8,7,6,6,5,5,-,-,-,-
Chopin,"Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to common scab.Â Â This variety has low resistance to late blight on tubers and skin spot.Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","VDZ 87-38 x Casanova",1,"HZPC Holland B.V.","Box 88",NL-8500,"AB Joure",,,NETHERLANDS,,,,,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",-,"Short - oval",Yellow,"Light yellow",-,-,-,"Early Maincrop","Short - medium",-,Absent,7,7,-,-,-,-,-,3,8,7,6,4,3,2,6,6,5,2,3,-,-,-,-
Churchill,,"Umatilla Russet x Spey",1,"James Hutton Institute",Mylnefield,Invergowrie,Dundee,,"DD2 5DA","UNITED KINGDOM",,,"+44(0)1382 562731","+44(0)1382 562426",-,-,-,-,-,-,-,-,-,-,-,-,"Oval - long","Red parti-coloured",White,Shallow,-,-,-,-,-,-,6,6,2,2,5,9,3,2,2,6,7,1,6,8,9,7,4,7,5,-,-,-,-
Clairette,"Second early pre-pack","Glenna x Emeraude",,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2044,"Short - oval",Yellow,"Medium yellow","Very shallow",Smooth,-,"Second Early",-,"Blue violet",-,7,-,3,8,-,-,4,1,9,-,-,-,-,-,-,-,6,4,3,Short,-,-,Smooth
Claret,"Claret is a high yielding variety perfect for pre-packing. It has long dormancy which increases its store life and improves appearance on the table. Susceptibility to potato cyst nematode <i> Globodera rostochiensis  </i> and <i> globodera pallida </i>.  It has a good resistance to common scab and potato virus Yo.  ","G67551 x Cara",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Strathmore Potatoes Ltd","West Craig","Dundee Road",Forfar,Angus,"DD8 4XE","UNITED KINGDOM",,www.strathmorepotatoes.co.uk,"01307 464 654","01307 464 200",2027,Oval,Red,"Light yellow",Shallow,Medium,Pink,Maincrop,Medium,"Red violet",Absent,6,6,8,-,-,-,5,2,2,7,5,-,-,-,-,-,4,6,5,-,-,-,-
Clevna,"Clevna is an early maincrop  variety.Â Â This variety is suitable for both salads / punnets  and table use.Â Â Tubers have good resistance splitting, to blackleg, skin spot and dry rot (<i>Fusarium coeruleum</i>).Â Â The variety is susceptible to dry rot (<i> Fusarium sulphureum </i>), potato virus Yn and Yo.  Tests for resistance to potato cyst nematodes demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Osprey x Pentland Ivory",1,"Dr J Dunnett, Caithness Varieties Ltd",Clevnagreen,,Freswick,Caithness,"KW1 4XX","UNITED KINGDOM",,,,,-,-,-,-,-,-,-,-,-,-,-,-,"Oval - long","Red parti-coloured",Cream,Shallow,-,Pink,"Early Maincrop","Medium - tall",White,Medium,4,7,3,3,6,-,4,2,2,6,7,3,8,8,5,5,6,5,4,-,-,-,-
Colleen,"Early variety.  Colleen is very suitable for early crisping and organic production.  Susceptible to late blight on foliage and Blackleg.  `Tests shown resistance to Late blight on tubers and resistance to potato cyst nematode <i> Globodera rostochiensis </i> Ro1.  ","Manna x Mizen",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2023,Oval,Yellow,"Light yellow",Shallow,Medium,Violet,"First Early","Short - medium",White,Few,-,-,6,-,-,-,-,-,9,6,3,-,-,-,-,-,4,8,3,-,-,-,-
Colomba,"First Early","Carrera x Agata",,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99","HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",-,Oval,Yellow,"Light yellow",-,Medium,-,"Second Early",-,White,-,4,-,-,2,-,3,-,-,9,7,-,-,4,-,-,-,4,3,-,Short,,-,-
Compass,"Trials have found good resistance to dry rot (<I>Fusarium coeruleum</I>) and potato mop top (spraing).Â Â This variety has low resistance to black dot, dry rot (<I>Fusarium sulphureum</I>), skin spot, powdery scab, blackleg and late blight on tubers.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","PALLAS x VOYAGER",1,"HZPC Holland B.V.","Box 88",NL-8500,"AB Joure",,,NETHERLANDS,,,,,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",-,-,Yellow,-,-,-,-,Maincrop,-,White,-,6,6,-,-,-,-,-,1,8,4,1,1,7,1,4,1,3,2,4,-,-,-,-
Constance,"Constance is a yellow skinned, pale yellow fleshed table potato, suitable for general use. With early development after planting, this is a good early maincrop variety, with oval round tubers of regular shape and shallow eyes. It produces good sized tubers that are resistant to secondary growth and growth cracks. This variety is well suited on most soil types. With a medium dry matter of 20%, it eats well and retains its colour after peeling. It has a buttery taste and smooth texture making it ideal for mashing, boiling or baking.","Marabel x AR 93-1243",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,Oval,Yellow,"Medium yellow",Shallow,Smooth,Violet,"Early Maincrop",Tall,White,-,5,2,-,8,-,7,-,-,3,8,6,1,5,4,8,4,3,1,5,Medium,20%,-,Smooth
Corolle,"Second early salad variety.","Chloe x G81TT155001",,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2032,Oval,Yellow,"Medium yellow",Shallow,Smooth,-,"Second Early",-,White,-,5,-,-,-,-,-,-,1,9,7,-,-,-,-,-,-,-,5,6,Long,18%,-,Salad
Cosmos,"Second Early Baker with high yields of uniform tubers. Good drought tolerance. Excellent bright skin and good shape. Ideally suited to organic production. Susceptible to potato cyst nematode <i> Globodera rostochiensis </i> and <i> globodera pallida </i>
Good resistance to common scab, tuber blight, bruising and  splitting.  ","2180 Haploid",1,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245","Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",2021,Oval,Cream,"Light yellow",Shallow,Medium,Pink,"Early Maincrop",Medium,White,Few,8,7,4,-,-,-,3,2,2,7,5,-,-,-,-,-,4,7,4,-,-,-,-
Courage,"This high yielding, rapidly bulking HZPC variety produces early yields of high dry matter and uniform red skinned, round tubers.  It is suitable for ex field and short term storage use. Resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1.","Lady Rosetta x HZ 81 h 202",1,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99","Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668",2028,Round,Red,Cream,Medium,-,Pink,"Second Early",Medium,"Blue violet",Few,6,6,-,-,-,-,-,-,9,5,5,-,-,-,-,-,6,6,4,-,-,-,-
Courlan,"Tubers have some  resistance to bruising and splitting.Â Â Trials have found good resistance to common scab and blackleg.Â Â This variety has low resistance to powdery scab and late blight on foliage and tubers.Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","RD 84-319-3 x Birchbank",1,"Robert Hoopes","4295 Tenderfoot Road",,Rhinelander,,"WI 54501","UNITED STATES",,,,,-,-,-,-,-,-,-,-,-,-,-,2029,"Short - oval",White,Cream,"Shallow - medium",Smooth,Pink,"Second Early",Short,"Red violet",Few,5,5,4,-,-,-,6,2,2,7,8,-,-,-,-,-,1,2,3,-,-,-,-
Crisps4all,"Tubers have excellent  resistance to splitting and good  resistance to bruising.Â Â This variety has low resistance to blackleg, potato virus Yo , late blight on tubers and potato leafroll virus.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and partial resistance to  <i>Globodera pallida</i> Pa 2/3, 1.","RZ-85-238 x RZ-87-44",1,"HZPC Holland B.V.","Box 88",NL-8500,"AB Joure",,,NETHERLANDS,,,,,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",2040,Oval,White,"Light yellow","Shallow - medium",-,Pink,"Early Maincrop","Medium - tall",White,-,7,8,2,-,-,-,1,6,9,4,1,4,6,6,8,3,3,2,4,-,-,-,-
Cultra,"Cultra is a high yielding variety with low outgrade levels.  Long oval tubers, parti coloured skins with cream flesh.  Distinct pink eyes. Excellent cooking characteristics, with long term storage potential. Susceptible to spraing, internal rust spot, potato cyst nematode <i> Globodera pallida </i> Pa2/3,1 and potato virus Yo.  Resistance to Splitting and tests show Cultra as resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1. ","Desiree x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,2018,Oval,"Red parti-coloured","Light yellow",Medium,Smooth,Pink,"Early Maincrop",Medium,White,Absent,6,7,2,-,-,-,4,2,9,6,6,-,-,-,-,-,6,5,4,-,-,-,-
Daisy,"Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to powdery scab, blackleg and dry rot (<i>Fusarium coeruleum</i>).Â Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>) and skin spot.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Gipsy x Culpa",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,-,Oval,White,"Medium yellow","Shallow - medium",-,Pink,Maincrop,Tall,"Red violet",-,6,7,-,-,-,-,-,2,9,5,8,1,6,1,3,5,6,5,4,-,-,-,-
Desiree,"Maincrop maturity, with high yields and early bulking.  Medium dry matter, firm cooked texture, good boiling, fresh French fry and mashing quality.  High resistance to drought and good resistance to potato virus Yo and powdery scab.  Susceptible to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1, and mis-shapes on heavy soils.  Moderately susceptible to spraing and mild mosaic viruses.","Urgenta x Depesche",1,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99","GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",Red,"Light yellow",Medium,Medium,Pink,Maincrop,Medium,"Red violet",Many,5,5,7,-,-,-,4,2,2,4,4,-,-,-,-,-,7,5,4,-,-,-,-
Divaa,"Tubers have good  resistance to splitting and some resistance to bruising.Â Â Trials have found good resistance to dry rot (<i>Fusarium coeruleum</i>).Â Â This variety has low resistance to dry rot (<i>Fusarium suphureum</i>), potato leafroll virus, potato virus Yo, late blight on tubers and powdery scab. Â Tests for resistance to potato cyst nematode demonstrated partial resistance to <i>Globodera pallida </i> 2/3 and 1, but susceptibility to<i>Globodera rostochiensis</i> Ro1.","(Pentland Javelin x seedling) x Innovator",1,"Caithness Potato Exports Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",,,,,"Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2040,"Oval - long",White,White,Shallow,-,Pink,"Second Early",Medium,White,-,6,7,3,-,-,-,1,5,3,5,6,1,7,5,6,5,3,2,4,-,-,-,-
Dolly,,"Lady Rosetta x Britta",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,-,Round,Red,"Medium yellow",Medium,-,Violet,"Early Maincrop","Medium - tall","Red violet",-,4,6,-,-,-,-,-,2,7,4,6,7,6,4,9,9,4,3,4,-,-,-,-
Druid,"Very vigorous high yielding variety.  Resistant to potato cyst nematode <i> Globodera rostochiensis </i>  Ro1, with good resistance to  tuber blight and common scab.  Versatile in its culinary uses, it is suitable for crisping and French fries.","Ulster Glade x A25/19",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2026,Oval,Red,Cream,Shallow,Medium,Pink,Maincrop,"Very tall",White,Medium,-,-,-,-,-,-,-,-,9,8,6,-,-,-,-,-,4,7,5,-,-,-,-
"Duke Of York",".Â Â This variety has low resistance to late blight on foliage, late blight on tubers, common scab, potato leafroll virus and potato virus Yo ..","Early Primrose x King Kidney",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Oval,Cream,"Light yellow","Very shallow - shallow",Medium,Pink,"First Early",Short,White,Absent,-,-,2,-,-,-,2,-,-,2,-,-,5,5,-,-,-,2,2,-,-,-,-
"Dunbar Rover","A second early variety bred in Scotland and first marketed in 1936. Dunbar Rover produces a moderate yield of oval, white-skinned tubers with a white, floury flesh. This variety has susceptibility to potato cyst nematode <i> Globodera rostochiensis </i> and <i> globodera pallida </i> pa 2/3,1.","Herald x Arran Consul",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Oval,Cream,White,Shallow,-,Pink,-,-,White,Few,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dunbar Standard","A late maincrop bred by Mr C. Spence in Scotland and first marketed in 1936. Dunbar Standard produces a high yield of bold, long oval, white-skinned tubers with  a cream flesh.  Dunbar Standard is a tall, upright vigorous plant. Susceptibility to potato cyst nematode <i> Globodera rostochiensis </i> and <i> Globodera pallida </i>.  ","Herald x Kerrs Pink",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",Cream,White,Shallow,Smooth,Pink,Maincrop,"Tall - very tall",White,Absent,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dundrod,"Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to potato virus Yo.Â Â This variety is susceptible to late blight on foliage and tubers.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Wasseon x Maris Piper",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oval,Cream,Cream,Shallow,Smooth,Pink,"First Early",-,"Red violet",Absent,7,7,8,-,-,-,5,2,9,5,3,-,-,-,-,-,4,2,3,-,-,-,-
Dunluce,"Dunluce is a first early variety bred in Northern Ireland by John Clarke and produces a moderate yield of round to oval, white-skinned tubers with a creamy, waxy flesh. Tests show susceptibility to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Ps2/3,1.","Saskia x K 126 Clarke",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Oval,Cream,Cream,Shallow,Smooth,Pink,"First Early",-,"Red violet",Absent,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edony,,"Sassy x G95TM001002",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,-,Round,Yellow,"Medium yellow",Medium,-,Blue,Maincrop,Tall,"Blue violet",-,5,7,-,-,-,-,-,3,8,4,7,8,8,3,8,3,6,2,5,-,-,-,-
"Edzell Blue","An old variety first marketed in early 1900s.  Edzell Blue is a second early variety producing a moderate yield of blue-skinned tubers with a white, floury flesh.   Tests show low resistance to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1",-,1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Short - oval",Blue,Cream,-,Medium,Blue,"Second Early",-,White,Absent,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Electra,..,"C1992/42 x Picasso",1,-,-,-,-,-,-,-,-,-,-,-,"Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,Oval,Yellow,"Medium yellow",Shallow,-,-,"Early Maincrop",-,-,-,8,6,-,-,-,-,-,2,7,8,-,3,3,8,6,6,3,2,5,-,-,-,-
Elisabeth,"First/Second Early with good yields of uniform tubers.  Very shallow eyes.  Excellent dormancy.  Suitable for the punnet market. Susceptible to late blight on tubers and foliage.  Tests for resistance to Blackleg, potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.
","VE 82-96 x Celina",1,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245","Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",2034,"Oval - long",Yellow,"Medium yellow",Deep,-,-,"Second Early",Short,White,Absent,6,4,-,-,-,-,-,2,9,4,7,6,6,6,5,5,6,1,3,-,-,-,-
Elland,,"Golden Millenium x Innovator",1,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",-,"Oval - long",White,Cream,Shallow,-,Pink,"Early Maincrop","Medium - tall",White,-,8,9,-,-,-,-,-,9,3,6,6,1,7,-,-,-,4,4,4,-,-,-,-
